ID,First Name,Last Name,Money Available,Concerts Purchased,TicketMiner Membership,Username,Password
1,Mickey,Mouse,5702.86,0,false,mickeymouse,Fun!23
2,Donald,Duck,4508.68,0,false,donaldduck,Fun!23
3,Minnie,Mouse,2481.92,0,true,minniemouse,Fun!23
4,Goofy,Disney,2316.94,0,false,goofydisney,Fun!23
5,Pluto,Disney,3938.18,0,true,plutodisney,Fun!23
6,Chip,Disney,4753.61,0,true,chipdisney,Fun!23
7,Dale,Disney,3300.59,0,false,daledisney,Fun!23
8,Cinderella,Disney,2933.92,0,true,cinderelladisney,Fun!23
9,Ariel,Disney,3657.48,0,true,arieldisney,Fun!23
10,Jasmine,Disney,3702.69,0,true,jasminedisney,Fun!23
11,Aladdin,Disney,3266.58,0,true,aladdindisney,Fun!23
12,Simba,Disney,5068.94,0,true,simbadisney,Fun!23
13,Mufassa,Disney,3345.57,0,true,mufassadisney,Fun!23
14,Aurora,Disney,5872.83,0,false,auroradisney,Fun!23
15,Peter,Pan,1759.18,0,false,peterpan,Fun!23
16,Woody,Disney,2505.69,0,false,woodydisney,Fun!23
17,Buzz,Lightyear,1508.59,0,false,buzzlightyear,Fun!23
18,Jafar,Aladdin,3202.2,0,true,jafaraladdin,Fun!23
19,Ursela,Mermaid,5878.93,0,true,urselamermaid,Fun!23
20,Beast,Disney,4555.54,0,true,beastdisney,Fun!23
21,Belle,Disney,4529.03,0,true,belledisney,Fun!23
22,Cruella,De Vil,3808.48,0,true,cruellade vil,Fun!23
23,Scar,Lion,4996.01,0,false,scarlion,Fun!23
24,Simba,King,4480.98,0,false,simbaking,Fun!23
25,Gaston,Disney,5403.15,0,true,gastondisney,Fun!23
26,Shere,Khan,2807.24,0,true,sherekhan,Fun!23
27,Captaiin,Hook,1902.39,0,true,captaiinhook,Fun!23
28,Kaa,Disney,1296.51,0,true,kaadisney,Fun!23
29,Evil,Queen,4634.62,0,true,evilqueen,Fun!23
30,Pinocchio,Disney,1918.41,0,true,pinocchiodisney,Fun!23
31,Prince,Eric,4515.76,0,true,princeeric,Fun!23
32,Quasimodo,Disney,2233.71,0,false,quasimododisney,Fun!23
33,Hercules,Disney,5546.28,0,false,herculesdisney,Fun!23
34,Mulan,Disney,2047.46,0,true,mulandisney,Fun!23
35,Lilo,Disney,2458.45,0,true,lilodisney,Fun!23
36,Stitch,Disney,1961.8,0,true,stitchdisney,Fun!23
